SMILES,valid,MolWt,QED,LogP,target_query,Lipinski,Novel
C/C=C/NC(=O)C1=CC=C(C=C1)C,True,175.231,0.7335140649214138,2.25842,EGFR inhibitor,True,True
C1=CC=C(C=C1)C[C@H1](C)[NH3+1],True,136.21799999999996,0.6242517967075476,0.8595000000000002,EGFR inhibitor,True,True
C(C(=O)[O-1])NC(=O)[C@@H1](C(=O)O)[NH3+1],True,176.128,0.3712020831062211,-4.4524,EGFR inhibitor,True,True
CCSC[NH2+1]C,True,106.214,0.392136596717245,-0.1098,EGFR inhibitor,True,True
C(C[NH1+1]CCC(=O)[O-1])C(=O)[O-1],True,159.141,0.3957426473942779,-4.384399999999998,EGFR inhibitor,True,True
C[C@H1][C@H1](C(=O)[O-1])[NH3+1],True,102.113,0.4209908092627932,-2.429009999999999,EGFR inhibitor,True,True
C[NH1+1]CCOCC[NH2+1]C,True,133.215,0.3769346730195269,-2.824799999999997,EGFR inhibitor,True,True
C1=CC=C(C=C1)C(=[NH2+1])N,True,121.163,0.3688699104988422,-0.849,EGFR inhibitor,True,True
C1=CC(=CC(=C1)[S-1])C(=O)[O-1],True,152.17399999999998,0.5298303781358171,-0.0441,EGFR inhibitor,True,True
C[C@H1]1[C@H1]CO[C@H1](O1)O[NH3+1],True,133.147,0.4706735510752581,-0.9169099999999996,EGFR inhibitor,True,True
C1=CC(=CN=C1)NC(=O)/C=C/C2=CC=C(C=C2)Br,True,303.159,0.881872500631637,3.496000000000002,EGFR inhibitor,True,True
CCCCC(=O)[O-1],True,101.125,0.4987673823665796,-0.0735000000000001,EGFR inhibitor,True,True
CC1=CC=C(C=C1)P(CP(=O)(C)C)CP(C)C,True,288.248,0.7347191156116271,4.381420000000004,EGFR inhibitor,True,True
C/C1=C\CC2=CC=CC=C21,True,130.18999999999997,0.5061403767927674,2.646000000000001,EGFR inhibitor,True,True
COC1=C(C=C(C=C1)OCC=O)[O-1],True,181.16699999999997,0.6285311062416973,0.3464999999999996,EGFR inhibitor,True,True
C(=NCC1=CC=CC=C1)CNC(=O)NC2=CC=CC=[NH1+1]2,True,269.328,0.7996858857701166,1.8932,EGFR inhibitor,True,True
CCCC[C@@H1](CC(=O)[O-1])[NH3+1],True,145.202,0.534777444076064,-1.0728999999999986,EGFR inhibitor,True,True
CC[NH1+1](CC[NH3+1])C[NH3+1],True,120.22,0.3202573418560852,-3.6674999999999978,EGFR inhibitor,True,True
CCC1NCC[C@@H1]([NH2+1]1)C(=O)[O-1],True,158.201,0.4627333412078832,-2.602299999999998,EGFR inhibitor,True,True
CC=NCO[C@H1](CO)Br,True,196.044,0.5323833189495475,0.7645,EGFR inhibitor,True,True
C[NH1+1](C)CC[N+1](C)(C)C,True,132.251,0.4619331909756292,-1.1628999999999976,EGFR inhibitor,True,True
C1[C@@H1]([NH2+1]C1)N,True,73.119,0.3502324723717576,-1.7616999999999994,EGFR inhibitor,True,True
C#CC(=O)[O-1],True,69.039,0.3202527763517478,-1.6305,EGFR inhibitor,True,True
C1=CN=CC2=C1N=C(C=N2)SCC(=O)[O-1],True,220.233,0.6701259590205525,-0.1332000000000002,EGFR inhibitor,True,True
C1C[C@@H1](C[NH2+1]1)C(=O)[O-1],True,115.132,0.4046380743912872,-2.680399999999999,EGFR inhibitor,True,True
CC1[NH1+1](CC[NH1+1]1C)CC(=O)[O-1],True,159.209,0.4264956591577215,-4.5044999999999975,EGFR inhibitor,True,True
C=C(C(=O)[O-1])S(=O)(=O)C1=CC=C(C=C1)O,True,227.217,0.6975721278483625,-0.5705,EGFR inhibitor,True,True
C1=CC=C(C=C1)[NH3+1],True,94.137,0.4862230487366923,0.5599999999999998,EGFR inhibitor,True,True
